,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_coef0,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.019283485412597657,0.002873167703544156,0.007189321517944336,0.0019089149207149815,1,0.01,auto,linear,"{'C': 1, 'coef0': 0.01, 'gamma': 'auto', 'kernel': 'linear'}",0.87,0.91,0.83,0.91,0.86,0.876,0.03072458299147446,16
1,0.03974895477294922,0.011104690815541392,0.01887798309326172,0.00449592623837833,1,0.01,auto,rbf,"{'C': 1, 'coef0': 0.01, 'gamma': 'auto', 'kernel': 'rbf'}",0.86,0.89,0.79,0.9,0.86,0.86,0.03847076812334268,36
2,0.05067753791809082,0.006999692009992596,0.017341804504394532,0.004283523352554442,1,0.01,auto,sigmoid,"{'C': 1, 'coef0': 0.01, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.71,0.81,0.76,0.77,0.82,0.774,0.03929376540877701,42
3,0.03627586364746094,0.004929239354521082,0.010899162292480469,0.0027085479633881986,1,0.01,scale,linear,"{'C': 1, 'coef0': 0.01, 'gamma': 'scale', 'kernel': 'linear'}",0.87,0.91,0.83,0.91,0.86,0.876,0.03072458299147446,16
4,0.05845551490783692,0.009980921058001507,0.024590063095092773,0.004480278005012722,1,0.01,scale,rbf,"{'C': 1, 'coef0': 0.01, 'gamma': 'scale', 'kernel': 'rbf'}",0.89,0.92,0.81,0.92,0.89,0.8859999999999999,0.04029888335921976,13
5,0.073508882522583,0.009663505281901543,0.009552431106567384,0.0018217571548352358,1,0.01,scale,sigmoid,"{'C': 1, 'coef0': 0.01, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.41,0.47,0.34,0.42,0.36,0.4,0.046043457732885346,47
6,0.029479265213012695,0.006490592457389475,0.010134410858154298,0.0034308421086566886,1,10.0,auto,linear,"{'C': 1, 'coef0': 10, 'gamma': 'auto', 'kernel': 'linear'}",0.87,0.91,0.83,0.91,0.86,0.876,0.03072458299147446,16
7,0.04530496597290039,0.008908371795897055,0.028096723556518554,0.00578283837966432,1,10.0,auto,rbf,"{'C': 1, 'coef0': 10, 'gamma': 'auto', 'kernel': 'rbf'}",0.86,0.89,0.79,0.9,0.86,0.86,0.03847076812334268,36
8,0.07316904067993164,0.013958814037767825,0.01838264465332031,0.00600115586515144,1,10.0,auto,sigmoid,"{'C': 1, 'coef0': 10, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.13,0.14,0.13,0.13,0.13,0.132,0.0040000000000000036,49
9,0.03646702766418457,0.007543763435667499,0.010894966125488282,0.002917824105762948,1,10.0,scale,linear,"{'C': 1, 'coef0': 10, 'gamma': 'scale', 'kernel': 'linear'}",0.87,0.91,0.83,0.91,0.86,0.876,0.03072458299147446,16
10,0.060796260833740234,0.01319044892676716,0.027242565155029298,0.006934873908831164,1,10.0,scale,rbf,"{'C': 1, 'coef0': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.89,0.92,0.81,0.92,0.89,0.8859999999999999,0.04029888335921976,13
